source_name
Callum Hudson-Odoi
Morgan Gibbs-White
Elliot Anderson
Ramón Sosa
James Ward-Prowse
Ryan Yates
Álex Moreno
Neco Williams
Murillo
Nikola Milenković
Ola Aina
Matz Sels
Erling Haaland
Jeremy Doku
Phil Foden
Sávio
Jack Grealish
İlkay Gündoğan
Rodri
Mateo Kovačić
Bernardo Silva
Joško Gvardiol
Manuel Akanji
Rúben Dias
Kyle Walker
John Stones
Ederson
Leandro Trossard
Kai Havertz
Gabriel Martinelli
Gabriel Jesus
Declan Rice
Thomas Partey
Bukayo Saka
Ben White
Riccardo Calafiori
Jakub Kiwior
Gabriel Magalhães
William Saliba
Jurriën Timber
Myles Lewis-Skelly
David Raya
